pic_number,delta_azimuth,delta_elevation
1,-0.8499999999999996,-0.34999999999999964
2,-0.6500000000000004,0.15000000000000036
3,0.75,0.45000000000000107
4,-1.1999999999999993,0.2500000000000018
5,0.8000000000000007,-0.8499999999999979
6,0.7000000000000011,0.15000000000000213
7,-1.299999999999999,0.40000000000000213
8,-0.5999999999999996,-0.29999999999999716
9,-0.5500000000000007,-0.09999999999999787
10,-0.3500000000000014,0.9000000000000021
11,-1.2500000000000018,-0.09999999999999787
12,0.9999999999999982,0.3500000000000014
13,1.0999999999999979,-0.8999999999999986
14,1.0999999999999979,0.10000000000000142
15,-0.6500000000000021,1.0500000000000007
16,-0.05000000000000249,0.8500000000000014
17,0.4499999999999975,-0.14999999999999858
18,-0.45000000000000284,1.0500000000000007
19,-1.2500000000000036,0.6000000000000014
20,-0.1500000000000039,-0.6999999999999975
21,-1.0500000000000043,-0.1999999999999975
22,-0.6500000000000039,0.5500000000000025
23,0.24999999999999645,0.25000000000000355
24,-1.0500000000000043,1.0500000000000043
25,0.04999999999999538,0.350000000000005
26,-3.552713678800501e-15,-0.14999999999999325
27,-1.6000000000000032,0.8500000000000068
28,0.6499999999999968,0.45000000000000817
29,-0.1000000000000032,1.0500000000000078
30,-1.2000000000000028,-0.04999999999999183
31,0.7499999999999982,0.7000000000000082
32,0.5999999999999979,1.0500000000000078
33,-0.2500000000000018,0.3500000000000085
34,0.7999999999999972,1.0500000000000096
35,1.1499999999999968,-0.8499999999999908
36,0.4499999999999975,1.0000000000000089
37,-0.9000000000000021,0.70000000000001
38,1.0999999999999979,0.400000000000011
39,1.1999999999999975,-0.49999999999998934
40,-0.8000000000000025,-0.1499999999999897
41,0.29999999999999716,-0.5499999999999883
42,0.5999999999999961,-0.8999999999999879
43,0.24999999999999645,-0.3999999999999879
44,-0.8500000000000032,0.6000000000000121
45,0.34999999999999787,0.2500000000000142
46,-1.3500000000000014,0.6500000000000146
47,0.6499999999999986,0.4500000000000153
48,-1.3000000000000025,0.15000000000001634
49,0.04999999999999716,-0.549999999999983
50,-0.9000000000000021,0.5500000000000167
51,0.34999999999999787,0.10000000000001741
52,-1.6500000000000021,0.9000000000000181
53,-0.5000000000000018,-0.7999999999999812
54,-0.6000000000000014,-0.09999999999998188
55,1.3499999999999996,-0.7999999999999812
56,-1.1500000000000004,0.5000000000000195
57,-0.7000000000000011,0.30000000000002025
58,-0.45000000000000107,-0.6999999999999797
59,-0.5500000000000007,0.4000000000000199
60,-1.4000000000000004,0.7000000000000188
61,-0.5,-0.29999999999998117
62,1.0,0.4000000000000181
63,0.6500000000000004,0.20000000000001883
64,-1.5999999999999996,0.7000000000000188
65,-0.09999999999999964,1.1000000000000192
66,-0.5999999999999996,-0.5999999999999801
67,-0.3000000000000007,0.5500000000000203
68,0.6999999999999993,0.15000000000002167
69,1.299999999999999,-0.649999999999979
70,-1.0500000000000007,0.2500000000000213
71,-1.1500000000000004,0.7000000000000206
72,-0.40000000000000036,0.10000000000002096
73,-0.5,0.600000000000021
74,-1.25,2.1316282072803006e-14
75,0.15000000000000036,-0.4999999999999787
76,0.15000000000000036,0.9000000000000217
77,1.1500000000000004,0.05000000000002203
78,-0.9499999999999993,0.550000000000022
79,0.5000000000000018,0.15000000000002345
80,-1.2499999999999982,0.40000000000002345
81,0.6000000000000014,0.9000000000000234
82,-0.6499999999999986,0.40000000000002345
83,1.450000000000001,-0.5999999999999766
84,-1.049999999999999,0.40000000000002345
85,0.10000000000000142,0.10000000000002451
86,0.20000000000000107,-0.3499999999999748
87,0.3000000000000007,2.4868995751603507e-14
88,-0.4499999999999993,0.3500000000000245
89,0.75,0.15000000000002522
90,1.0,-0.8499999999999748
91,-0.14999999999999858,-0.3999999999999755
92,-1.3499999999999996,2.4868995751603507e-14
93,-0.34999999999999964,0.6000000000000245
94,0.5000000000000018,0.20000000000002416
95,0.9000000000000004,0.5500000000000238
96,0.5,0.20000000000002416
97,-0.5,1.2000000000000242
98,-0.09999999999999964,0.7000000000000242
99,-0.7999999999999989,-0.1499999999999755
100,0.7500000000000018,-0.8999999999999755
