pic_number,delta_azimuth_gt,delta_elevation_gt,delta_azimuth_pred,delta_elevation_pred,error_az,error_el
1,-0.8499999999999996,-0.3499999999999996,-0.0878703966736793,0.0291242375969886,0.7621296033263203,0.3791242375969882
2,-0.6500000000000004,0.1500000000000003,-0.2782363891601562,0.0948081985116005,0.37176361083984416,-0.055191801488399805
3,0.75,0.450000000000001,0.698674201965332,-0.2169502675533294,-0.05132579803466797,-0.6669502675533304
4,-1.1999999999999993,0.2500000000000018,-0.2773843705654144,0.0946776941418647,0.9226156294345849,-0.15532230585813708
5,0.8000000000000007,-0.8499999999999979,0.7696709632873535,-0.2356121242046356,-0.030329036712647195,0.6143878757953622
6,0.7000000000000011,0.1500000000000021,0.7451525330543518,-0.2291904985904693,0.04515253305435074,-0.3791904985904714
7,-1.299999999999999,0.4000000000000021,-0.3697280585765838,0.1265926659107208,0.9302719414234151,-0.2734073340892813
8,-0.5999999999999996,-0.2999999999999971,0.0009135976433753,4.7810375690460205e-05,0.6009135976433749,0.30004781037568756
9,-0.5500000000000007,-0.0999999999999978,-0.1991302371025085,0.0690419599413871,0.3508697628974922,0.16904195994138488
10,-0.3500000000000014,0.9000000000000021,-0.4739284515380859,0.1640805900096893,-0.12392845153808446,-0.7359194099903128
11,-1.2500000000000018,-0.0999999999999978,-0.2983229160308838,0.1029111072421073,0.951677083969118,0.2029111072421051
12,0.9999999999999982,0.3500000000000014,0.7799519300460815,-0.2377012372016906,-0.22004806995391668,-0.587701237201692
13,1.099999999999998,-0.8999999999999986,0.8153576254844666,-0.2469532489776611,-0.28464237451553154,0.6530467510223374
14,1.099999999999998,0.1000000000000014,0.8092321157455444,-0.2449414134025573,-0.29076788425445366,-0.3449414134025587
15,-0.6500000000000021,1.0500000000000007,-0.4258298277854919,0.1467579007148742,0.22417017221451024,-0.9032420992851264
16,-0.0500000000000024,0.8500000000000014,-0.3506674468517303,0.1211052164435386,-0.3006674468517279,-0.7288947835564629
17,0.4499999999999975,-0.1499999999999985,0.6021201014518738,-0.1856456100940704,0.15212010145187627,-0.03564561009407191
18,-0.4500000000000028,1.0500000000000007,-0.4161272048950195,0.143499493598938,0.03387279510498331,-0.9065005064010627
19,-1.2500000000000036,0.6000000000000014,-0.3436973690986633,0.1177979186177253,0.9063026309013402,-0.4822020813822761
20,-0.1500000000000039,-0.6999999999999975,0.5402966141700745,-0.165089726448059,0.6902966141700784,0.5349102735519385
21,-1.0500000000000045,-0.1999999999999975,-0.3023383915424347,0.1040196046233177,0.7476616084575698,0.30401960462331523
22,-0.6500000000000039,0.5500000000000025,-0.4438042044639587,0.1524263322353363,0.20619579553604522,-0.3975736677646662
23,0.2499999999999964,0.2500000000000035,0.3102960884571075,-0.0968644320964813,0.0602960884571111,-0.34686443209648476
24,-1.0500000000000045,1.0500000000000045,-0.3934443891048431,0.1354694664478302,0.6565556108951613,-0.9145305335521743
25,0.0499999999999953,0.350000000000005,-0.1084106042981147,0.0371734872460365,-0.15841060429811,-0.31282651275396844
26,-3.552713678800501e-15,-0.1499999999999932,0.2637754380702972,-0.0767574682831764,0.26377543807030074,0.0732425317168168
27,-1.6000000000000032,0.8500000000000068,-0.3521141409873962,0.1209304705262184,1.247885859012607,-0.7290695294737883
28,0.6499999999999968,0.4500000000000081,0.6270883083343506,-0.1955660879611969,-0.022911691665646217,-0.6455660879612051
29,-0.1000000000000032,1.0500000000000078,-0.3270998299121856,0.1129217371344566,-0.22709982991218242,-0.9370782628655512
30,-1.2000000000000028,-0.0499999999999918,-0.2994333505630493,0.1032440438866615,0.9005666494369535,0.1532440438866533
31,0.7499999999999982,0.7000000000000082,0.5919128656387329,-0.183906614780426,-0.1580871343612653,-0.8839066147804342
32,0.5999999999999979,1.0500000000000078,0.4275306761264801,-0.1320152431726455,-0.17246932387351777,-1.1820152431726534
33,-0.2500000000000018,0.3500000000000085,-0.2646737396717071,0.0906045958399772,-0.014673739671705321,-0.2593954041600313
34,0.7999999999999972,1.0500000000000096,0.6817857623100281,-0.2116688787937164,-0.11821423768996908,-1.261668878793726
35,1.1499999999999968,-0.8499999999999908,0.813962996006012,-0.2465760111808776,-0.33603700399398484,0.6034239888191132
36,0.4499999999999975,1.0000000000000089,0.2247227430343628,-0.0688582509756088,-0.22527725696563472,-1.0688582509756177
37,-0.9000000000000021,0.70000000000001,-0.4301235675811767,0.147953063249588,0.46987643241882543,-0.5520469367504219
38,1.099999999999998,0.400000000000011,0.8018481731414795,-0.2430521249771118,-0.2981518268585186,-0.6430521249771228
39,1.1999999999999975,-0.4999999999999893,0.8238096833229065,-0.2489354312419891,-0.376190316677091,0.2510645687580002
40,-0.8000000000000025,-0.1499999999999897,-0.2519847750663757,0.0870163366198539,0.5480152249336268,0.23701633661984362
41,0.2999999999999971,-0.5499999999999883,0.6573295593261719,-0.2030257880687713,0.3573295593261748,0.34697421193121697
42,0.5999999999999961,-0.8999999999999879,0.7384046912193298,-0.2278054058551788,0.13840469121933374,0.6721945941448091
43,0.2499999999999964,-0.3999999999999879,0.6733922958374023,-0.2080068886280059,0.42339229583740595,0.19199311137198202
44,-0.8500000000000032,0.6000000000000121,-0.4410574436187744,0.1515885293483734,0.4089425563812288,-0.44841147065163867
45,0.3499999999999978,0.2500000000000142,0.4518317878246307,-0.1409257799386978,0.10183178782463287,-0.390925779938712
46,-1.3500000000000014,0.6500000000000146,-0.3724241554737091,0.1277556419372558,0.9775758445262923,-0.5222443580627587
47,0.6499999999999986,0.4500000000000153,0.6847065687179565,-0.2131738662719726,0.034706568717957964,-0.6631738662719879
48,-1.3000000000000025,0.1500000000000163,-0.2279245555400848,0.0777417793869972,1.0720754444599176,-0.07225822061301909
49,0.0499999999999971,-0.549999999999983,0.5400797128677368,-0.1653522998094558,0.4900797128677397,0.3846477001905272
50,-0.9000000000000021,0.5500000000000167,-0.4559971690177917,0.1569278240203857,0.44400283098221044,-0.393072175979631
51,0.3499999999999978,0.1000000000000174,0.6204838156700134,-0.19395512342453,0.2704838156700156,-0.2939551234245474
52,-1.650000000000002,0.9000000000000181,-0.3243968784809112,0.1113494709134101,1.3256031215190907,-0.788650529086608
53,-0.5000000000000018,-0.7999999999999812,0.2070458084344864,-0.0628783404827117,0.7070458084344882,0.7371216595172695
54,-0.6000000000000014,-0.0999999999999818,-0.2515754401683807,0.0866710171103477,0.34842455983162074,0.18667101711032952
55,1.3499999999999996,-0.7999999999999812,0.8696608543395996,-0.2600612044334411,-0.48033914566040004,0.53993879556654
56,-1.1500000000000004,0.5000000000000195,-0.4005709886550903,0.1375154554843902,0.74942901134491,-0.36248454451562934
57,-0.7000000000000011,0.3000000000000202,-0.3993583917617798,0.1369653940200805,0.3006416082382213,-0.16303460597993968
58,-0.450000000000001,-0.6999999999999797,0.2303692996501922,-0.0692191272974014,0.6803692996501932,0.6307808727025783
59,-0.5500000000000007,0.4000000000000199,-0.4439778923988342,0.1525056064128875,0.10602210760116654,-0.2474943935871324
60,-1.4000000000000004,0.7000000000000188,-0.3949674069881439,0.1359725594520568,1.0050325930118564,-0.5640274405479621
61,-0.5,-0.2999999999999811,-0.1784421801567077,0.0618271306157112,0.3215578198432923,0.3618271306156923
