pic_number,delta_azimuth,delta_elevation
0,-1.1500000000000004,-0.14999999999999858
1,-3.0999999999999996,0.8500000000000014
2,-3.0999999999999996,0.6500000000000021
3,-3.0999999999999996,0.40000000000000213
4,-3.0999999999999996,0.05000000000000249
5,-3.0999999999999996,-0.29999999999999716
6,-3.0,-0.6999999999999975
7,-3.0,-0.9999999999999982
8,-2.75,0.9000000000000021
9,-2.6500000000000004,0.6500000000000021
10,-2.6500000000000004,0.40000000000000213
11,-2.6500000000000004,0.05000000000000249
12,-2.6500000000000004,-0.24999999999999822
13,-2.6000000000000014,-0.5999999999999979
14,-2.6000000000000014,-0.9499999999999975
15,-2.3500000000000014,1.0500000000000025
16,-2.3000000000000025,0.8000000000000025
17,-2.3000000000000025,0.5500000000000025
18,-2.3000000000000025,0.15000000000000213
19,-2.2500000000000036,-0.1999999999999993
20,-2.2000000000000046,-0.5
21,-2.2000000000000046,-0.8499999999999996
22,-1.9500000000000046,1.0500000000000007
23,-1.850000000000005,0.8000000000000007
24,-1.850000000000005,0.5500000000000007
25,-1.900000000000004,0.20000000000000107
26,-1.900000000000004,-0.049999999999998934
27,-1.8000000000000043,-0.3999999999999986
28,-1.8000000000000043,-0.7499999999999982
29,-1.5500000000000043,1.1500000000000021
30,-1.4500000000000064,0.9000000000000021
31,-1.4500000000000064,0.6500000000000021
32,-1.4500000000000064,0.3000000000000025
33,-1.4500000000000064,-0.04999999999999716
34,-1.4000000000000075,-0.3999999999999968
35,-1.3500000000000085,-0.7499999999999964
36,-1.1000000000000085,1.2000000000000028
37,-1.1000000000000085,0.8500000000000032
38,-1.0500000000000096,0.6500000000000039
39,-1.0500000000000096,0.3000000000000025
40,-1.0500000000000096,-0.04999999999999716
41,-1.0000000000000089,-0.3999999999999968
42,-1.0000000000000089,-0.7499999999999964
43,-0.7500000000000089,1.150000000000004
44,-0.6500000000000092,0.9000000000000057
45,-0.6500000000000092,0.6500000000000057
46,-0.6500000000000092,0.30000000000000604
47,-0.6500000000000092,7.105427357601002e-15
48,-0.6000000000000103,-0.29999999999999183
49,-0.5500000000000114,-0.6999999999999904
50,-0.3500000000000103,1.2500000000000089
51,-0.25000000000001066,1.0000000000000089
52,-0.3000000000000096,0.7500000000000089
53,-0.3000000000000096,0.40000000000000924
54,-0.3000000000000096,0.15000000000000924
55,-0.2500000000000089,-0.19999999999999218
56,-0.150000000000011,-0.5499999999999918
