pic_number,delta_azimuth,delta_elevation
1,-2.0,0.9000000000000004
2,0.9000000000000004,0.9000000000000004
3,-1.6999999999999993,-1.0
4,1.1500000000000004,-1.0
5,-1.8499999999999996,-0.09999999999999964
6,1.0500000000000007,-0.1999999999999993
7,0.05000000000000071,0.9000000000000004
8,0.1999999999999993,-0.9499999999999993
9,-0.8000000000000007,0.20000000000000107
10,-0.05000000000000071,0.20000000000000107
11,0.9499999999999993,0.20000000000000107
12,-0.15000000000000036,-0.29999999999999893
13,0.5999999999999996,-0.29999999999999893
14,-1.4000000000000004,0.6000000000000014
15,-0.6500000000000004,0.6000000000000014
16,-1.1500000000000004,-0.5999999999999979
17,-1.75,0.8000000000000025
18,0.6500000000000004,0.8000000000000025
19,-1.5999999999999996,0.3000000000000025
20,-0.5,0.3000000000000025
21,-1.5,-0.4499999999999975
22,-1.5,0.9500000000000028
23,-1.75,-0.04999999999999716
24,0.0,0.1000000000000032
25,0.25,0.3500000000000032
26,-0.75,-0.1499999999999968
27,0.8499999999999996,0.7500000000000036
28,0.4499999999999993,-0.44999999999999574
29,0.4499999999999993,0.8000000000000043
30,-1.700000000000001,-0.44999999999999574
31,-0.7000000000000011,-0.9499999999999957
32,-0.05000000000000071,-0.19999999999999574
33,-0.6500000000000004,0.8000000000000043
34,0.25,0.05000000000000426
35,0.5999999999999996,0.8000000000000043
36,-1.6500000000000004,-0.6999999999999957
37,-0.40000000000000036,0.1500000000000039
38,-0.6500000000000004,-0.19999999999999574
39,1.0999999999999996,-0.6999999999999957
40,-1.3499999999999996,0.8000000000000043
41,-1.0,0.20000000000000462
42,-1.25,0.7000000000000046
43,-1.4499999999999993,-0.5999999999999961
44,-0.25,-0.3499999999999961
45,-1.3499999999999996,0.7500000000000036
46,-1.0,-0.9499999999999957
47,0.40000000000000036,0.30000000000000426
48,-0.8499999999999996,-0.6999999999999957
49,0.5500000000000007,0.7000000000000046
50,0.40000000000000036,0.10000000000000497
