pic_number,delta_azimuth,delta_elevation
1,0.5999999999999996,0.5
2,-1.6500000000000004,-0.75
3,-0.05000000000000071,-0.34999999999999964
4,-0.6500000000000004,-0.6999999999999993
5,0.8499999999999996,0.3000000000000007
6,-1.4000000000000004,-0.049999999999998934
7,0.6999999999999993,-0.6499999999999986
8,-0.05000000000000071,0.7500000000000018
9,-0.6500000000000004,-0.5999999999999979
10,-1.299999999999999,0.5000000000000018
11,0.10000000000000142,0.2500000000000018
12,-0.09999999999999964,-0.7499999999999982
13,-1.450000000000001,-0.14999999999999858
14,-1.25,0.2500000000000018
15,0.8499999999999996,1.7763568394002505e-15
16,-0.75,0.3000000000000025
17,0.9000000000000004,-0.6999999999999975
18,0.5500000000000007,0.7000000000000028
19,-1.5999999999999996,-0.04999999999999716
20,-0.09999999999999964,0.20000000000000284
21,-0.5999999999999996,-0.3999999999999968
22,-1.1999999999999993,0.25000000000000355
23,0.8000000000000007,-0.8499999999999961
24,-0.9499999999999993,0.4000000000000039
25,-1.6999999999999993,-0.19999999999999574
26,-0.9499999999999993,0.9000000000000039
27,-0.4499999999999993,0.30000000000000426
28,-1.0999999999999996,-0.09999999999999609
29,0.8000000000000007,-0.9999999999999964
30,0.3000000000000007,0.6000000000000032
31,1.0500000000000007,-0.5999999999999961
32,0.8000000000000007,-0.09999999999999609
33,-0.34999999999999964,0.9000000000000039
34,-1.4499999999999993,-0.8499999999999961
35,0.3500000000000014,-0.3499999999999961
36,-0.7999999999999989,0.4000000000000039
37,0.10000000000000142,-0.09999999999999609
38,-1.1499999999999986,0.5000000000000036
39,-1.3499999999999979,-0.8999999999999968
40,-0.1999999999999975,0.25000000000000355
41,0.6000000000000032,-0.7499999999999964
42,-0.04999999999999716,-0.09999999999999609
43,-1.7999999999999972,0.7000000000000046
44,-0.1499999999999968,-0.899999999999995
45,0.45000000000000284,0.9000000000000057
46,-1.2999999999999972,-0.3499999999999943
47,-0.7999999999999972,0.6500000000000057
48,-0.9999999999999964,-0.24999999999999467
49,-0.09999999999999609,0.850000000000005
50,-0.44999999999999574,0.5000000000000053
51,-0.8499999999999961,-0.49999999999999467
52,-1.5499999999999954,0.5000000000000053

